,entryOwnerText_l
266,"[('francesconi', 43), ('franceschini', 43), ('dalla frascada', 41)]"
267,"[('francesconi', 43), ('franceschini', 43), ('dalla frascada', 41)]"
268,"[('francesconi', 43), ('franceschini', 43), ('dalla frascada', 41)]"
269,"[('rossini', 100), ('tommasi', 55), ('tommasini-degna', 53)]"
270,"[('bergantini', 64), ('recanati zucconi', 59), ('gattinoni', 59)]"
271,"[('riva', 100), ('da riva', 73), ('dalla riva', 57)]"
272,"[('procuratia', 100), ('moscheni', 100), ('battistelli', 37)]"
273,"[('giovanelli', 100), ('procuratia', 100), ('giovannelli', 50)]"
274,"[('querini', 100), ('zuanne', 100), ('guerini', 57)]"
275,"[('pezzana', 100), ('de lorenzo', 82), ('lorenzon', 70)]"
276,"[('pezzana', 100), ('de lorenzo', 82), ('lorenzon', 70)]"
277,"[('dal', 100), ('zuanne', 100), ('dal corno', 50)]"
278,"[('negri', 100), ('ercolani', 64), ('girolamo', 64)]"
279,"[('giustinian', 100), ('de', 100), ('giustiniani', 45)]"
280,"[('giustinian', 100), ('giustiniani', 53), ('giustiniano', 53)]"
281,"[('giustinian', 100), ('de', 100), ('giustiniani', 45)]"
282,"[('giustinian', 100), ('de', 100), ('giustiniani', 45)]"
283,"[('giustinian', 100), ('de', 100), ('giustiniani', 45)]"
284,"[('giustinian', 100), ('giustiniani', 74), ('giustiniano', 74)]"
285,"[('de lorenzo', 100), ('zaccaria', 100), ('gabriel', 100)]"
286,"[('de lorenzo', 100), ('zaccaria', 100), ('gabriel', 100)]"
287,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
288,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
289,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
290,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
291,"[('seles', 100), ('cristofoli', 69), ('cristinelli', 52)]"
292,"[('seles', 100), ('cristofoli', 69), ('cristinelli', 52)]"
293,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
294,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
295,"[('baglioni', 100), ('battistini', 56), ('battistiol', 50)]"
296,"[('baglioni', 100), ('battistini', 56), ('battistiol', 50)]"
297,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
298,"[('falier', 100), ('giustinian', 100), ('corner', 100)]"
299,"[('rizzi', 100), ('bastian', 100), ('sebastiani', 70)]"
300,"[('capitolo', 100), ('di', 100), ('san', 100)]"
301,"[('capitolo', 100), ('di', 100), ('san', 100)]"
302,"[('capitolo', 100), ('di', 100), ('san', 100)]"
303,"[('capitolo', 100), ('di', 100), ('san', 100)]"
304,"[('capitolo', 100), ('di', 100), ('san', 100)]"
305,"[('capitolo', 100), ('di', 100), ('san', 100)]"
306,"[('capitolo', 100), ('di', 100), ('san', 100)]"
307,"[('capitolo', 100), ('di', 100), ('san', 100)]"
308,"[('capitolo', 100), ('di', 100), ('san', 100)]"
309,"[('capitolo', 100), ('di', 100), ('san', 100)]"
310,"[('capitolo', 100), ('di', 100), ('san', 100)]"
311,"[('capitolo', 100), ('di', 100), ('san', 100)]"
312,"[('capitolo', 100), ('di', 100), ('san', 100)]"
313,"[('capitolo', 100), ('di', 100), ('san', 100)]"
314,"[('capitolo', 100), ('di', 100), ('san', 100)]"
315,"[('capitolo', 100), ('di', 100), ('san', 100)]"
316,"[('capitolo', 100), ('di', 100), ('san', 100)]"
317,"[('capitolo', 100), ('di', 100), ('san', 100)]"
318,"[('capitolo', 100), ('di', 100), ('san', 100)]"
319,"[('capitolo', 100), ('di', 100), ('san', 100)]"
320,"[('capitolo', 100), ('di', 100), ('san', 100)]"
321,"[('capitolo', 100), ('di', 100), ('san', 100)]"
322,"[('capitolo', 100), ('di', 100), ('san', 100)]"
323,"[('capitolo', 100), ('di', 100), ('san', 100)]"
324,"[('di', 100), ('del', 100), ('san', 100)]"
325,"[('di', 100), ('del', 100), ('san', 100)]"
326,"[('di', 100), ('del', 100), ('san', 100)]"
327,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
328,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
329,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
330,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
331,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
332,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
333,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
334,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
335,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
336,"[('giustinian', 100), ('polo', 100), ('nolin', 100)]"
337,"[('baglioni', 100), ('caliari fantinelli', 56), ('fratello', 48)]"
338,"[('giustinian', 100), ('de', 100), ('giustiniani', 45)]"
339,"[('baglioni', 100), ('polo', 100), ('caliari fantinelli', 57)]"
340,"[('giustinian', 100), ('giustiniani', 53), ('giustiniano', 53)]"
341,"[('giustinian', 100), ('giustiniani', 53), ('giustiniano', 53)]"
342,"[('giustinian', 100), ('giustiniani', 53), ('giustiniano', 53)]"
343,"[('giustinian', 100), ('giustiniani', 53), ('giustiniano', 53)]"
344,"[('de', 100), ('di', 100), ('san', 100)]"
345,"[('di', 100), ('del', 100), ('san', 100)]"
346,"[('di', 100), ('del', 100), ('san', 100)]"
347,"[('capitolo', 100), ('di', 100), ('san', 100)]"
348,"[('di', 100), ('del', 100), ('san', 100)]"
349,"[('di', 100), ('del', 100), ('san', 100)]"
350,"[('di', 100), ('del', 100), ('san', 100)]"
351,"[('di', 100), ('del', 100), ('san', 100)]"
352,"[('di', 100), ('del', 100), ('san', 100)]"
353,"[('di', 100), ('del', 100), ('san', 100)]"
354,"[('di', 100), ('del', 100), ('san', 100)]"
355,"[('di', 100), ('del', 100), ('san', 100)]"
356,"[('di', 100), ('del', 100), ('san', 100)]"
357,"[('di', 100), ('del', 100), ('san', 100)]"
358,"[('di', 100), ('del', 100), ('san', 100)]"
359,"[('noris', 100), ('andriani', 55), ('angelini', 55)]"
360,"[('noris', 100), ('andriani', 55), ('angelini', 55)]"
361,"[('noris', 100), ('andriani', 55), ('angelini', 55)]"
362,"[('noris', 100), ('andriani', 55), ('angelini', 55)]"
363,"[('noris', 100), ('andriani', 55), ('angelini', 55)]"
364,"[('noris', 100), ('andriani', 55), ('angelini', 55)]"
365,"[('noris', 100), ('andriani', 55), ('angelini', 55)]"
366,"[('grimani', 100), ('carlo', 100), ('de', 100)]"
367,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
368,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
369,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
370,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
371,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
372,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
373,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
374,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
375,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
376,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
377,"[('grimani', 100), ('fradellini', 49), ('fratello', 46)]"
378,"[('soranzo', 100), ('giacomazzi', 64), ('moranzoni', 58)]"
379,"[('soranzo', 100), ('giacomazzi', 64), ('moranzoni', 58)]"
380,"[('noris', 100), ('andriani', 55), ('angelini', 55)]"
381,"[('barbaro', 100), ('barbetta', 62), ('barbaria', 62)]"
382,"[('morosini', 100), ('fradellini', 51), ('fratello', 48)]"
383,"[('morosini', 100), ('fradellini', 51), ('fratello', 48)]"
384,"[('morosini', 100), ('fradellini', 51), ('fratello', 48)]"
385,"[('soranzo', 100), ('giacomazzi', 64), ('moranzoni', 58)]"
386,"[('soranzo', 100), ('giacomazzi', 64), ('moranzoni', 58)]"
387,"[('soranzo', 100), ('giacomazzi', 64), ('moranzoni', 58)]"
388,"[('soranzo', 100), ('giacomazzi', 64), ('moranzoni', 58)]"
389,"[('morosini', 100), ('vetturi', 100), ('morosinii', 53)]"
390,"[('soranzo', 100), ('giacomazzi', 64), ('moranzoni', 58)]"
391,"[('recanati zucconi', 40), ('donÃ\xa0 dalle rose', 38), ('dalla franziada', 37)]"
392,"[('girolamo', 61), ('sanferomo', 58), ('baviera', 55)]"
393,"[('tron', 100), ('fradellini', 58), ('fratello', 55)]"
394,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
395,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
396,"[('monastero', 100), ('della', 100), ('della costa', 62)]"
397,"[('corner', 100), ('andreato', 67), ('andreoleti', 61)]"
398,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
399,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
400,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
401,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
402,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
403,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
404,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
405,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
406,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
407,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
408,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
409,"[('fratello', 100), ('tron', 100), ('satellico', 53)]"
